Name,Team,League,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF,GDP,AVG,OBP,SLG,OPS
Spencer Torkelson,DET,AL,155.0,649,563.0,82.0,135.0,76.0,27.0,1.0,31.0,78.0,2.0,1.0,72.0,169.0,9.0,0.0,5.0,12.0,0.24,0.333,0.456,0.789
Steven Kwan,CLE,AL,156.0,693,625.0,81.0,170.0,129.0,29.0,1.0,11.0,56.0,21.0,5.0,55.0,60.0,3.0,3.0,7.0,3.0,0.272,0.33,0.374,0.705
Taylor Ward,LAA,AL,157.0,663,579.0,86.0,132.0,63.0,31.0,2.0,36.0,103.0,4.0,1.0,75.0,175.0,3.0,0.0,6.0,13.0,0.228,0.317,0.475,0.792
Trent Grisham,NYY,AL,143.0,581,494.0,87.0,116.0,72.0,9.0,1.0,34.0,74.0,3.0,2.0,82.0,137.0,4.0,0.0,1.0,7.0,0.235,0.348,0.464,0.811
Trevor Larnach,MIN,AL,142.0,567,503.0,62.0,126.0,84.0,24.0,1.0,17.0,60.0,4.0,4.0,53.0,122.0,4.0,0.0,6.0,19.0,0.25,0.323,0.404,0.727
Trevor Story,BOS,AL,157.0,654,612.0,91.0,161.0,107.0,29.0,0.0,25.0,96.0,31.0,1.0,33.0,176.0,7.0,1.0,1.0,3.0,0.263,0.308,0.433,0.741
Tyler Soderstrom,ATH,AL,158.0,624,561.0,75.0,155.0,95.0,34.0,1.0,25.0,93.0,8.0,3.0,55.0,141.0,6.0,0.0,2.0,18.0,0.276,0.346,0.474,0.82
Vinnie Pasquantino,KCR,AL,160.0,682,621.0,72.0,164.0,98.0,33.0,1.0,32.0,113.0,1.0,0.0,49.0,107.0,7.0,0.0,5.0,14.0,0.264,0.323,0.475,0.798
Vladimir Guerrero Jr.,TOR,AL,156.0,680,589.0,96.0,172.0,115.0,34.0,0.0,23.0,84.0,6.0,3.0,81.0,94.0,6.0,0.0,4.0,17.0,0.292,0.381,0.467,0.848
Wyatt Langford,TEX,AL,134.0,573,489.0,73.0,118.0,70.0,25.0,1.0,22.0,62.0,22.0,6.0,74.0,151.0,5.0,0.0,5.0,9.0,0.241,0.344,0.431,0.775
Yainer Diaz,HOU,AL,143.0,567,542.0,56.0,139.0,93.0,25.0,1.0,20.0,70.0,1.0,1.0,20.0,95.0,2.0,0.0,3.0,13.0,0.256,0.284,0.417,0.701
Yandy Díaz,TBR,AL,150.0,651,583.0,79.0,175.0,120.0,29.0,1.0,25.0,83.0,3.0,1.0,57.0,92.0,6.0,0.0,5.0,12.0,0.3,0.366,0.482,0.848
Zach McKinstry,DET,AL,144.0,511,452.0,68.0,117.0,71.0,23.0,11.0,12.0,49.0,19.0,5.0,46.0,111.0,7.0,1.0,5.0,6.0,0.259,0.333,0.438,0.771
Zach Neto,LAA,AL,128.0,554,502.0,82.0,129.0,73.0,29.0,1.0,26.0,62.0,26.0,9.0,33.0,149.0,14.0,2.0,3.0,5.0,0.257,0.319,0.474,0.793
